"productcategory","productname","productimageurl"
"[""Kız Bebek"",""İç Giyim ve Pijama""]","Kız Bebek Pijama Alt 2'li","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/3054879/M_20172-7KK704Z1-FUT_A.jpg"
"[""Erkek Bebek"",""Takım""]","Erkek Bebek Gömlek ve Pantolon","https://akcdn1.lcwaikiki.com/ProductImages/20172/5/2774817/V1/M_20172-7K3478Z1-CSW_A.jpg"
"[""Kız Çocuk"",""Elbise""]","Siyah Dantel Elbise","https://akcdn3.lcwaikiki.com/ProductImages/20181/4/3042486/M_20181-8S3175Z4-CVL_B.jpg"
"[""Erkek Bebek"",""Takım""]","Erkek Bebek Ekose Gömlek ve Jogger Pantolon","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/2748598/M_20172-7K1506Z1-706_A.jpg"
"[""Kız Bebek"",""Hırka ve Kazak""]","Kız Bebek Pelüş Astarlı Triko Hırka","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/2679871/M_20172-7K0038Z1-HEQ_Z.jpg"
"[""Kadın"",""Kaban, Mont ve Trençkot""]","Kısa Trençkot","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/2931137/M_20181-8S0225Z8-ASE_A.jpg"
"[""Kız Bebek"",""Aksesuar""]","Hello Kitty Külotlu Çorap","https://akcdn1.lcwaikiki.com/ProductImages/20172/5/3010619/M_20172-7KI904Z1-671_A.jpg"
"[""Kız Çocuk"",""Gömlek, Bluz ve Tunik""]","Bebe Yaka Gömlek","https://akstatic.lcwaikiki.com/ProductImages/20172/4/2922199/V2/M_20172-7K8322Z4-FDU_5.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Yazı Baskılı Pijama Takımı","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/3014311/M_20181-8S1923Z8-381_A.jpg"
"[""Erkek"",""Pantolon""]","Kumaş Takım Elbise Pantolonu","https://akstatic.lcwaikiki.com/ProductImages/20172/1/2932694/V3/M_20172-7KG128Z8-J2X_A.jpg"
"[""Kız Bebek"",""Elbise""]","Elbise","https://akcdn1.lcwaikiki.com/ProductImages/20171/5/2650940/M_20171-7Y4705Z1-702_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Omuzları Dantel Detaylı Pijama Takımı","https://akstatic.lcwaikiki.com/ProductImages/20172/2/2813556/M_20172-7K4744Z8-E0N_A.jpg"
"[""Erkek Çocuk"",""Gömlek""]","Kolları Katlamalı Oxford Gömlek","https://akcdn2.lcwaikiki.com/ProductImages/20181/4/2989832/M_20181-8S0957Z4-J1R_A.jpg"
"[""Erkek"",""Spor Giyim""]","Eşofman Altı","https://akcdn3.lcwaikiki.com/ProductImages/20162/1/2609379/M_20162-6K9386Z8-G99_A.jpg"
"[""Yaşam Alanı"",""Kırlent""]","Çiçek Desenli Kırlent Kılıfı","https://akstatic.lcwaikiki.com/ProductImages/20162/8/3175110/M_20162-8SA592Z8-F9C_A.jpg"
"[""Kadın"",""Kaban, Mont ve Trençkot""]","Leopar Desenli Yağmurluk","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/2978614/M_20181-8S0754Z8-674_A.jpg"
"[""Kadın"",""Elbise""]","Mini Dantel Elbise","https://akcdn1.lcwaikiki.com/ProductImages/20172/2/3034607/M_20172-7KJ932Z8-CVL_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Toparlayıcı Korse","https://akcdn2.lcwaikiki.com/ProductImages/20172/2/2912205/M_20172-7K7158Z8-D0P_A.jpg"
